id;pedido_id;produto_id;quantidade;preco_unitario;subtotal;created_at
78;30;71;3;3442.53;10327.59;2024-12-04 01:58:41
79;30;8;2;8991.07;17982.14;2024-12-04 01:58:41
80;31;76;3;5638.02;16914.06;2024-05-10 19:56:07
81;31;13;1;638.61;638.61;2024-05-10 19:56:07
82;32;1;1;6493.62;6493.62;2024-07-08 23:59:52
83;32;18;2;7458.98;14917.96;2024-07-08 23:59:52
84;32;35;2;3176.12;6352.24;2024-07-08 23:59:52
85;32;52;3;8310.21;24930.63;2024-07-08 23:59:52
86;33;6;3;3141.54;9424.62;2025-09-02 13:22:13
87;34;11;3;6125.23;18375.69;2025-10-04 02:48:18
88;34;28;2;1202.75;2405.50;2025-10-04 02:48:18
89;34;45;3;2913.13;8739.39;2025-10-04 02:48:18
90;35;16;2;7968.82;15937.64;2024-05-02 02:23:56
91;35;33;1;5075.99;5075.99;2024-05-02 02:23:56
92;35;50;3;8150.44;24451.32;2024-05-02 02:23:56
93;36;21;2;3834.62;7669.24;2025-05-14 09:27:00
94;36;38;2;2327.99;4655.98;2025-05-14 09:27:00
95;36;55;3;1087.31;3261.93;2025-05-14 09:27:00
96;36;72;3;8945.01;26835.03;2025-05-14 09:27:00
97;37;26;1;2662.98;2662.98;2025-08-04 15:28:51
98;38;31;2;1151.49;2302.98;2025-07-27 06:49:36
99;38;48;3;2428.62;7285.86;2025-07-27 06:49:36
100;38;65;2;8218.77;16437.54;2025-07-27 06:49:36
101;39;36;3;6791.51;20374.53;2025-11-01 02:35:10
102;39;53;2;623.25;1246.50;2025-11-01 02:35:10
103;39;70;1;5882.07;5882.07;2025-11-01 02:35:10
104;39;7;1;2700.86;2700.86;2025-11-01 02:35:10
105;40;41;2;5579.79;11159.58;2025-08-13 01:12:06
106;41;46;3;5461.06;16383.18;2025-10-13 02:32:17
107;41;63;1;3429.57;3429.57;2025-10-13 02:32:17
108;41;80;2;4551.74;9103.48;2025-10-13 02:32:17
109;41;17;1;1252.06;1252.06;2025-10-13 02:32:17
110;42;51;2;1371.76;2743.52;2025-06-15 20:16:18
111;43;56;1;2603.98;2603.98;2025-10-16 20:56:59
112;43;73;2;3185.50;6371.00;2025-10-16 20:56:59
113;43;10;1;3839.85;3839.85;2025-10-16 20:56:59
114;43;27;3;3593.54;10780.62;2025-10-16 20:56:59
115;44;61;1;2125.02;2125.02;2025-11-10 22:05:49
116;44;78;3;3585.14;10755.42;2025-11-10 22:05:49
117;44;15;3;7806.08;23418.24;2025-11-10 22:05:49
118;44;32;2;2146.93;4293.86;2025-11-10 22:05:49
119;45;66;1;6675.89;6675.89;2025-10-27 10:45:05
120;45;3;1;4904.09;4904.09;2025-10-27 10:45:05
121;46;71;3;3442.53;10327.59;2025-11-04 02:58:56
122;46;8;3;8991.07;26973.21;2025-11-04 02:58:56
123;46;25;3;2733.15;8199.45;2025-11-04 02:58:56
124;47;76;2;5638.02;11276.04;2024-10-07 08:49:52
125;47;13;3;638.61;1915.83;2024-10-07 08:49:52
126;48;1;2;6493.62;12987.24;2025-01-06 17:09:18
127;48;18;2;7458.98;14917.96;2025-01-06 17:09:18
128;48;35;3;3176.12;9528.36;2025-01-06 17:09:18
129;48;52;1;8310.21;8310.21;2025-01-06 17:09:18
130;49;6;2;3141.54;6283.08;2025-11-10 14:49:19
131;49;23;2;2676.95;5353.90;2025-11-10 14:49:19
132;50;11;1;6125.23;6125.23;2025-01-06 03:54:28
133;50;28;1;1202.75;1202.75;2025-01-06 03:54:28
134;51;16;2;7968.82;15937.64;2024-11-06 01:45:46
135;51;33;3;5075.99;15227.97;2024-11-06 01:45:46
136;51;50;3;8150.44;24451.32;2024-11-06 01:45:46
137;51;67;3;8138.80;24416.40;2024-11-06 01:45:46
138;52;21;3;3834.62;11503.86;2025-04-15 01:12:23
139;52;38;1;2327.99;2327.99;2025-04-15 01:12:23
140;52;55;1;1087.31;1087.31;2025-04-15 01:12:23
141;53;26;2;2662.98;5325.96;2025-06-05 10:52:47
142;53;43;3;5084.26;15252.78;2025-06-05 10:52:47
143;54;31;1;1151.49;1151.49;2024-03-02 09:04:22
144;55;36;3;6791.51;20374.53;2025-07-09 21:48:50
145;55;53;3;623.25;1869.75;2025-07-09 21:48:50
146;55;70;3;5882.07;17646.21;2025-07-09 21:48:50
147;55;11;0;129.90;0.00;2025-07-09 21:48:50
148;56;41;1;5579.79;5579.79;2025-07-09 10:14:28
149;56;58;2;2401.98;4803.96;2025-07-09 10:14:28
150;56;75;2;8161.67;16323.34;2025-07-09 10:14:28
151;57;46;1;5461.06;5461.06;2025-09-27 05:24:39
152;57;63;3;3429.57;10288.71;2025-09-27 05:24:39
153;57;80;3;4551.74;13655.22;2025-09-27 05:24:39
154;58;51;2;1371.76;2743.52;2024-10-08 22:38:31
155;59;56;3;2603.98;7811.94;2024-12-22 01:20:27
156;60;61;2;2125.02;4250.04;2025-09-19 22:47:15
157;61;66;2;6675.89;13351.78;2025-03-21 22:15:45
158;62;71;2;3442.53;6885.06;2025-10-26 11:37:53
159;63;76;2;5638.02;11276.04;2025-08-17 11:43:10
160;64;1;2;6493.62;12987.24;2025-08-08 22:15:28
161;64;18;3;7458.98;22376.94;2025-08-08 22:15:28
162;64;35;2;3176.12;6352.24;2025-08-08 22:15:28
163;65;6;2;3141.54;6283.08;2025-01-19 08:58:05
164;65;23;3;2676.95;8030.85;2025-01-19 08:58:05
165;65;40;3;5643.03;16929.09;2025-01-19 08:58:05
166;65;57;1;6616.25;6616.25;2025-01-19 08:58:05
167;66;11;1;6125.23;6125.23;2025-05-19 06:11:18
168;66;28;3;1202.75;3608.25;2025-05-19 06:11:18
169;66;45;2;2913.13;5826.26;2025-05-19 06:11:18
170;66;62;3;2071.00;6213.00;2025-05-19 06:11:18
171;67;16;2;7968.82;15937.64;2025-03-14 13:36:39
172;67;33;2;5075.99;10151.98;2025-03-14 13:36:39
173;68;21;2;3834.62;7669.24;2025-03-23 16:09:17
174;68;38;1;2327.99;2327.99;2025-03-23 16:09:17
175;69;26;1;2662.98;2662.98;2025-08-04 13:21:47
176;70;31;3;1151.49;3454.47;2025-09-16 07:23:36
177;70;48;3;2428.62;7285.86;2025-09-16 07:23:36
178;70;65;1;8218.77;8218.77;2025-09-16 07:23:36
179;70;2;2;4364.18;8728.36;2025-09-16 07:23:36
180;71;36;3;6791.51;20374.53;2025-06-11 05:04:30
181;71;53;2;623.25;1246.50;2025-06-11 05:04:30
182;71;70;2;5882.07;11764.14;2025-06-11 05:04:30
183;72;41;3;5579.79;16739.37;2025-03-01 14:52:44
184;72;58;3;2401.98;7205.94;2025-03-01 14:52:44
185;72;75;3;8161.67;24485.01;2025-03-01 14:52:44
186;73;46;1;5461.06;5461.06;2025-04-23 05:20:24
187;74;51;3;1371.76;4115.28;2025-10-01 17:23:58
188;75;56;2;2603.98;5207.96;2024-06-02 10:37:20
189;76;61;3;2125.02;6375.06;2025-06-05 00:20:19
190;77;66;3;6675.89;20027.67;2025-01-02 02:17:05
191;78;71;2;3442.53;6885.06;2025-09-10 14:36:56
192;78;8;3;8991.07;26973.21;2025-09-10 14:36:56
193;78;25;1;2733.15;2733.15;2025-09-10 14:36:56
194;79;76;1;5638.02;5638.02;2025-04-21 17:28:45
195;80;1;2;6493.62;12987.24;2025-04-10 05:14:31
196;80;18;3;7458.98;22376.94;2025-04-10 05:14:31
197;80;35;2;3176.12;6352.24;2025-04-10 05:14:31
198;81;6;2;3141.54;6283.08;2025-09-10 17:23:33
199;82;11;3;6125.23;18375.69;2025-11-13 08:59:01
200;82;28;2;1202.75;2405.50;2025-11-13 08:59:01
201;82;45;1;2913.13;2913.13;2025-11-13 08:59:01
202;83;16;2;7968.82;15937.64;2025-07-07 07:01:53
203;84;21;2;3834.62;7669.24;2024-07-23 02:41:41
204;84;38;2;2327.99;4655.98;2024-07-23 02:41:41
205;84;55;3;1087.31;3261.93;2024-07-23 02:41:41
206;85;26;3;2662.98;7988.94;2025-03-04 23:28:09
207;85;43;1;5084.26;5084.26;2025-03-04 23:28:09
208;85;60;3;3254.48;9763.44;2025-03-04 23:28:09
209;85;77;1;7921.25;7921.25;2025-03-04 23:28:09
210;86;31;2;1151.49;2302.98;2025-05-18 23:10:20
211;86;48;1;2428.62;2428.62;2025-05-18 23:10:20
212;86;65;1;8218.77;8218.77;2025-05-18 23:10:20
213;87;36;2;6791.51;13583.02;2025-06-15 11:32:13
214;88;41;1;5579.79;5579.79;2025-02-23 14:04:46
215;88;58;2;2401.98;4803.96;2025-02-23 14:04:46
216;89;46;2;5461.06;10922.12;2025-05-16 14:17:32
217;89;63;2;3429.57;6859.14;2025-05-16 14:17:32
218;89;80;2;4551.74;9103.48;2025-05-16 14:17:32
219;89;17;1;1252.06;1252.06;2025-05-16 14:17:32
220;90;51;2;1371.76;2743.52;2025-02-22 12:50:32
221;90;68;2;952.10;1904.20;2025-02-22 12:50:32
222;90;5;2;7882.78;15765.56;2025-02-22 12:50:32
223;90;22;3;3003.38;9010.14;2025-02-22 12:50:32
224;91;56;1;2603.98;2603.98;2024-04-21 12:22:27
225;91;73;1;3185.50;3185.50;2024-04-21 12:22:27
226;91;10;1;3839.85;3839.85;2024-04-21 12:22:27
227;92;61;1;2125.02;2125.02;2024-07-26 04:16:32
228;92;78;1;3585.14;3585.14;2024-07-26 04:16:32
229;93;66;1;6675.89;6675.89;2025-05-01 18:38:15
230;93;3;3;4904.09;14712.27;2025-05-01 18:38:15
231;93;20;2;2223.34;4446.68;2025-05-01 18:38:15
232;93;37;3;7085.99;21257.97;2025-05-01 18:38:15
233;94;71;2;3442.53;6885.06;2024-09-01 14:14:36
234;94;8;2;8991.07;17982.14;2024-09-01 14:14:36
235;95;76;2;5638.02;11276.04;2024-07-05 11:18:14
236;95;13;2;638.61;1277.22;2024-07-05 11:18:14
237;95;30;3;7043.23;21129.69;2024-07-05 11:18:14
238;95;47;2;7397.40;14794.80;2024-07-05 11:18:14
239;96;1;2;6493.62;12987.24;2025-11-14 17:20:18
240;96;18;2;7458.98;14917.96;2025-11-14 17:20:18
241;96;35;1;3176.12;3176.12;2025-11-14 17:20:18
242;97;6;3;3141.54;9424.62;2025-11-04 23:04:13
243;97;23;1;2676.95;2676.95;2025-11-04 23:04:13
244;97;40;3;5643.03;16929.09;2025-11-04 23:04:13
245;97;57;2;6616.25;13232.50;2025-11-04 23:04:13
246;98;11;2;6125.23;12250.46;2025-10-16 18:01:59
247;98;28;1;1202.75;1202.75;2025-10-16 18:01:59
248;98;45;2;2913.13;5826.26;2025-10-16 18:01:59
249;99;16;1;7968.82;7968.82;2025-05-17 11:33:53
250;100;21;3;3834.62;11503.86;2025-05-23 02:03:42
251;100;38;1;2327.99;2327.99;2025-05-23 02:03:42
252;100;55;3;1087.31;3261.93;2025-05-23 02:03:42
253;101;26;2;2662.98;5325.96;2025-10-07 03:31:12
254;101;43;1;5084.26;5084.26;2025-10-07 03:31:12
255;101;60;1;3254.48;3254.48;2025-10-07 03:31:12
256;101;77;1;7921.25;7921.25;2025-10-07 03:31:12
257;102;31;3;1151.49;3454.47;2025-08-24 14:53:33
258;102;48;2;2428.62;4857.24;2025-08-24 14:53:33
259;103;36;1;6791.51;6791.51;2025-10-28 16:47:01
260;103;53;3;623.25;1869.75;2025-10-28 16:47:01
261;103;70;2;5882.07;11764.14;2025-10-28 16:47:01
262;103;7;3;2700.86;8102.58;2025-10-28 16:47:01
263;104;41;3;5579.79;16739.37;2025-04-24 09:21:41
264;105;46;1;5461.06;5461.06;2024-11-05 23:15:57
265;105;63;2;3429.57;6859.14;2024-11-05 23:15:57
266;106;51;2;1371.76;2743.52;2025-07-24 05:08:52
267;106;68;2;952.10;1904.20;2025-07-24 05:08:52
268;106;5;1;7882.78;7882.78;2025-07-24 05:08:52
269;107;56;2;2603.98;5207.96;2024-10-13 08:01:08
270;107;73;3;3185.50;9556.50;2024-10-13 08:01:08
271;108;61;1;2125.02;2125.02;2025-01-26 18:49:07
272;109;66;1;6675.89;6675.89;2025-05-18 04:48:14
273;109;3;2;4904.09;9808.18;2025-05-18 04:48:14
274;109;20;1;2223.34;2223.34;2025-05-18 04:48:14
275;110;71;3;3442.53;10327.59;2024-10-14 06:07:13
276;110;8;1;8991.07;8991.07;2024-10-14 06:07:13
277;110;25;2;2733.15;5466.30;2024-10-14 06:07:13
278;110;42;1;7149.81;7149.81;2024-10-14 06:07:13
279;111;76;2;5638.02;11276.04;2025-08-11 09:56:39
280;112;1;2;6493.62;12987.24;2025-08-04 08:25:27
281;112;18;2;7458.98;14917.96;2025-08-04 08:25:27
282;112;35;3;3176.12;9528.36;2025-08-04 08:25:27
283;112;52;1;8310.21;8310.21;2025-08-04 08:25:27
284;113;6;3;3141.54;9424.62;2025-01-09 04:32:24
285;113;23;3;2676.95;8030.85;2025-01-09 04:32:24
286;114;11;1;6125.23;6125.23;2024-06-10 00:38:17
287;115;16;1;7968.82;7968.82;2025-03-18 04:35:56
288;115;33;3;5075.99;15227.97;2025-03-18 04:35:56
289;115;50;1;8150.44;8150.44;2025-03-18 04:35:56
290;116;21;3;3834.62;11503.86;2025-10-01 10:30:17
291;116;38;2;2327.99;4655.98;2025-10-01 10:30:17
292;117;26;3;2662.98;7988.94;2025-07-29 02:51:32
293;118;31;3;1151.49;3454.47;2025-01-18 13:16:59
294;118;48;3;2428.62;7285.86;2025-01-18 13:16:59
295;118;65;2;8218.77;16437.54;2025-01-18 13:16:59
296;118;2;3;4364.18;13092.54;2025-01-18 13:16:59
297;119;36;1;6791.51;6791.51;2025-07-08 11:39:17
298;119;53;3;623.25;1869.75;2025-07-08 11:39:17
299;119;70;1;5882.07;5882.07;2025-07-08 11:39:17
300;119;7;3;2700.86;8102.58;2025-07-08 11:39:17
301;120;41;2;5579.79;11159.58;2025-10-25 13:46:06
